ax,ay,az,prob1,prob2,prob3,movementLabel,infer_time
0.4344,-0.7388,0.4073,0.3228,0.3485,0.3286,jalar,0.0
0.4216,-0.7422,0.4039,0.3228,0.3485,0.3286,jalar,0.0
0.4135,-0.7494,0.406,0.3228,0.3485,0.3286,jalar,0.0
0.4137,-0.7551,0.405,0.3228,0.3485,0.3286,jalar,0.0
0.4131,-0.7678,0.3959,0.3228,0.3485,0.3286,jalar,0.0
0.41,-0.7849,0.3865,0.3228,0.3485,0.3286,jalar,0.0
0.4113,-0.7919,0.3856,0.3228,0.3485,0.3286,jalar,0.0
0.4185,-0.7834,0.3861,0.3228,0.3485,0.3286,jalar,0.0
0.4194,-0.7828,0.3856,0.3228,0.3485,0.3286,jalar,0.0
0.417,-0.7861,0.3829,0.3228,0.3485,0.3286,jalar,0.0
0.4167,-0.7858,0.3806,0.3228,0.3485,0.3286,jalar,0.0
0.4161,-0.7815,0.3821,0.3228,0.3485,0.3286,jalar,0.0
0.4185,-0.7822,0.3864,0.3228,0.3485,0.3286,jalar,0.0
0.4247,-0.7867,0.3905,0.3228,0.3485,0.3286,jalar,0.0
0.4319,-0.8008,0.3979,0.3228,0.3485,0.3286,jalar,0.0
0.4393,-0.8063,0.4037,0.3228,0.3485,0.3286,jalar,0.0
0.4473,-0.8054,0.4055,0.3228,0.3485,0.3286,jalar,0.0
0.4484,-0.8038,0.4038,0.3228,0.3485,0.3286,jalar,0.0
0.4502,-0.8005,0.4032,0.3228,0.3485,0.3286,jalar,0.0
0.453,-0.7939,0.4012,0.3228,0.3485,0.3286,jalar,0.0
0.4532,-0.7906,0.4005,0.3228,0.3485,0.3286,jalar,0.0
0.4543,-0.7831,0.4014,0.3228,0.3485,0.3286,jalar,0.0
0.4612,-0.7775,0.4015,0.3228,0.3485,0.3286,jalar,0.0
0.4574,-0.7726,0.4025,0.3228,0.3485,0.3286,jalar,0.0
0.4536,-0.7653,0.4015,0.3228,0.3485,0.3286,jalar,0.0
0.4479,-0.7601,0.4058,0.3228,0.3485,0.3286,jalar,0.0
0.4474,-0.7543,0.4126,0.3228,0.3485,0.3286,jalar,0.0
0.446,-0.7511,0.4136,0.3228,0.3485,0.3286,jalar,0.0
0.4425,-0.7443,0.4135,0.3228,0.3485,0.3286,jalar,0.0
0.4419,-0.7391,0.4049,0.3228,0.3485,0.3286,jalar,0.0
0.4391,-0.736,0.3997,0.3228,0.3485,0.3286,jalar,0.0
0.441,-0.7246,0.3995,0.3228,0.3485,0.3286,jalar,0.0
0.4454,-0.7213,0.418,0.3228,0.3485,0.3286,jalar,0.0
0.4528,-0.723,0.4274,0.3228,0.3485,0.3286,jalar,0.0
0.449,-0.7322,0.4338,0.3228,0.3485,0.3286,jalar,0.0
0.4453,-0.7349,0.4318,0.3228,0.3485,0.3286,jalar,0.0
0.4437,-0.7263,0.427,0.3228,0.3485,0.3286,jalar,0.0
0.4387,-0.7157,0.4176,0.3228,0.3485,0.3286,jalar,0.0
0.4314,-0.7094,0.4058,0.3228,0.3485,0.3286,jalar,0.0
0.423,-0.7057,0.3845,0.3228,0.3485,0.3286,jalar,0.0
0.4182,-0.7064,0.3636,0.3228,0.3485,0.3286,jalar,0.0
0.4163,-0.7079,0.3434,0.3228,0.3485,0.3286,jalar,0.0
0.4116,-0.6991,0.3246,0.3228,0.3485,0.3286,jalar,0.0
0.4109,-0.683,0.2976,0.3228,0.3485,0.3286,jalar,0.0
0.4025,-0.653,0.2715,0.3228,0.3485,0.3286,jalar,0.0
0.389,-0.6228,0.2388,0.3228,0.3485,0.3286,jalar,0.0
0.3842,-0.6228,0.2155,0.3228,0.3485,0.3286,jalar,0.0
0.4042,-0.6705,0.2112,0.3228,0.3485,0.3286,jalar,0.0
0.4309,-0.7688,0.2421,0.3228,0.3485,0.3286,jalar,0.0
0.4791,-0.8575,0.2565,0.3228,0.3485,0.3286,jalar,0.0
0.5209,-0.9261,0.2607,0.3228,0.3485,0.3286,jalar,0.0
0.5634,-0.9534,0.243,0.3228,0.3485,0.3286,jalar,0.0
0.5801,-0.9341,0.1903,0.3228,0.3485,0.3286,jalar,0.0
0.5817,-0.9069,0.1356,0.3228,0.3485,0.3286,jalar,0.0
0.6257,-0.837,0.0652,0.3228,0.3485,0.3286,jalar,0.0
0.6265,-0.7559,-0.0322,0.3228,0.3485,0.3286,jalar,0.0
0.6262,-0.6941,-0.0911,0.3228,0.3485,0.3286,jalar,0.0
0.7075,-0.6094,-0.1399,0.3228,0.3485,0.3286,jalar,0.0
0.7988,-0.5533,-0.198,0.3228,0.3485,0.3286,jalar,0.0
0.8774,-0.5531,-0.2499,0.3228,0.3485,0.3286,jalar,0.0
0.9775,-0.6227,-0.3186,0.3228,0.3485,0.3286,jalar,0.0
1.0848,-0.649,-0.4229,0.3228,0.3485,0.3286,jalar,0.0
1.1869,-0.6647,-0.473,0.3228,0.3485,0.3286,jalar,0.0
1.2057,-0.7484,-0.4419,0.3228,0.3485,0.3286,jalar,0.0
